Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_20_20260327231857.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_19_20260327221231.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_15_20260327210606.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_14_20260327195941.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_13_20260327185315.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_12_20260327174650.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_4_20260327164027.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_2_20260327153359.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_18_20260327120051.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_17_20260327105425.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_16_20260327094800.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_11_20260327062843.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_10_20260327052217.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_9_20260327041551.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_8_20260327030927.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_7_20260327020303.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_6_20260327005639.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_5_20260326235014.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_3_20260326224350.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_1_20260326203102.raw
O88384	VTI1B_MOUSE	Vti1b	Vesicle transport through interaction with t-SNAREs homolog 1B	12	12	3.6768e+07	2.81343e+07	2.57879e+07	2.56041e+07	3.32729e+07	2.86088e+07	2.53817e+07	1.37568e+07	6.57286e+06	6.44093e+06	9.58907e+06	1.83746e+07	6.72754e+06	8.26117e+06	5.66617e+06	6.78703e+06	4.75643e+06	4.71745e+06	5.32956e+06	5.08243e+06
O88396	GRPE2_MOUSE	Grpel2	GrpE protein homolog 2, mitochondrial	3	3	15211.9	3550.8	6737.95	4106.46			8415.3	11648.9			3129.28			2503.73				2720.23		6730.93
O88413	TULP3_MOUSE	Tulp3	Tubby-related protein 3	6	6	1.53377e+06	493760	532818	931414	1.06649e+06	694524	1.09535e+06	1.04168e+06		308743	113863	436463	98380.3	204981		63614.1		162407	53706.8	106938
O88427	CAC1H_MOUSE	Cacna1h	Voltage-dependent T-type calcium channel subunit alpha-1H	8	8	201927	88548.3	183607	181152	157749	96535.1	221408	394733	30631.2	56433.1	29201.8	71085.4	66602	91234.3	26940.9		21845.9	13234.5	45322.7	55719.1
O88428	PAPS2_MOUSE	Papss2	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2	10	10	5.49223e+06	2.15272e+06	2.73414e+06	3.12082e+06	2.55929e+06	2.04004e+06	3.59761e+06	3.58965e+06	239655	575933	725638	832459	550547	789122	301975	180419	400571	368967	474226	288489
O88441	MTX2_MOUSE	Mtx2	Metaxin-2	12	12	2.08975e+07	6.41627e+06	2.38071e+06	1.17557e+07	2.78722e+06	2.68433e+06	4.37434e+06	8.64228e+06	2.28283e+06	2.67818e+06	1.49783e+06	3.65077e+06	1.15399e+06	4.4555e+06		740418	452142		919865	1.30088e+06
O88444	ADCY1_MOUSE	Adcy1	Adenylate cyclase type 1	19	19	5.99601e+06	3.93027e+06	884744	5.07638e+06	2.3866e+06	2.38125e+06	2.00919e+06	1.37223e+06	1.0577e+06	1.22696e+06	1.03842e+06	2.20094e+06	1.03102e+06	1.82361e+06	679858	381167	433784	490348	296422	929484
O88447	KLC1_MOUSE	Klc1	Kinesin light chain 1	37	32	7.44325e+07	2.94683e+07	5.0446e+07	3.38813e+07	2.43524e+07	1.81989e+07	5.91171e+07	8.5662e+07	4.574e+06	1.50995e+07	1.11698e+07	1.36988e+07	8.08756e+06	1.43156e+07	6.28108e+06	4.20455e+06	1.00233e+07	1.18505e+07	2.80816e+07	1.71293e+07
O88448	KLC2_MOUSE	Klc2	Kinesin light chain 2	53	38	1.22437e+08	5.41887e+07	8.36432e+07	6.87726e+07	4.63049e+07	3.49859e+07	6.60366e+07	7.29067e+07	8.73402e+06	2.51629e+07	1.77308e+07	2.80167e+07	1.31455e+07	1.88361e+07	1.07779e+07	7.63911e+06	1.58049e+07	1.38449e+07	2.18977e+07	1.58148e+07
O88454	KCNK4_MOUSE	Kcnk4	Potassium channel subfamily K member 4	2	2	256517	159621		145753	67533.6	56626.7	162478	119388	52184.8	106657	40719.8	77649.1	29741.9	44016.6			17261.3	14487		72221.3
O88455	DHCR7_MOUSE	Dhcr7	7-dehydrocholesterol reductase	4	4	5.29416e+06	4.56986e+06	431620	2.84852e+06	1.68619e+06	1.33852e+06	1.17693e+06	976184	239335	739033	860177	902867	384609	1.04422e+06				323655		326621
O88456	CPNS1_MOUSE	Capns1	Calpain small subunit 1	3	3	5.24493e+06	3.30586e+06	2.67282e+06	3.14308e+06	1.31774e+06	1.01462e+06	1.60563e+06	4.95938e+06	476903	400916	759557	1.34318e+06	678945	1.95324e+06			202328	112794	348256	820621
O88466	ZN106_MOUSE	Znf106	Zinc finger protein 106	11	11	2.78635e+06	1.00175e+06	1.98465e+06	1.64339e+06	1.68551e+06	2.02841e+06	1.78052e+06	1.64435e+06	286892	320457	415632	946164	314651	732207	265934	257237	376131	226128	497077	421495
