Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_20_20260327231857.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_19_20260327221231.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_15_20260327210606.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_14_20260327195941.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_13_20260327185315.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_12_20260327174650.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_4_20260327164027.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_2_20260327153359.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_18_20260327120051.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_17_20260327105425.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_16_20260327094800.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_11_20260327062843.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_10_20260327052217.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_9_20260327041551.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_8_20260327030927.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_7_20260327020303.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_6_20260327005639.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_5_20260326235014.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_3_20260326224350.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_1_20260326203102.raw
A0A087WPF7	AUTS2_MOUSE	Auts2	Autism susceptibility gene 2 protein homolog	11	11	548606	233663	1.01122e+06	917639	798845	465998	1.08616e+06	1.88115e+06	100751	306211	318592	437063	172729	409881	208504	244114	338064	195843	403950	405108
A0A088MLT8;P0DPB4	IQIP1_MOUSE;SCHI1_MOUSE	Iqcj-Schip1;Schip1	IQCJ-SCHIP1 readthrough transcript protein	5	0	1.00132e+06	556097	825061	715302	681582	253708	1.19932e+06	2.19011e+06	308760	290094		350647	190374	237756				225096		241667
A0A0A6YY25	BTBDI_MOUSE	Btbd18	BTB/POZ domain-containing protein 18	2	2		149401		43093.4		17063.6								11728.1						
A0A1W2P884	CE85L_MOUSE	Cep85l	Centrosomal protein of 85 kDa-like	3	3	249122	36446.9	179270	61975.5	80282.6		142583	216822				46287.9	25948.9		10772.4	29402.4	26486.3	50928.4	39814.7	
A1A5B6	TBC25_MOUSE	Tbc1d25	TBC1 domain family member 25	7	7	9.36482e+06	2.80577e+06	5.00299e+06	6.19872e+06	3.09799e+06	2.75603e+06	5.24292e+06	6.99044e+06	931931	2.15164e+06	1.21892e+06	1.96627e+06	1.22914e+06	2.32762e+06	1.01969e+06	657370	993740	1.3877e+06	2.15845e+06	1.73277e+06
A1IGU4	ARH37_MOUSE	Arhgef37	Rho guanine nucleotide exchange factor 37	2	2			2373.92	6152.71		4859.13		2245.89		1709.59			1597.61	2040.08						
A1Y9I9	TOMT_MOUSE	Tomt	Transmembrane O-methyltransferase homolog	2	2	43789.5		11678.1	19158.7	24900.9		19270.8													2018.47
A2A432	CUL4B_MOUSE	Cul4b	Cullin-4B	29	21	2.53311e+07	1.09847e+07	1.4389e+07	1.3046e+07	1.1431e+07	8.83329e+06	1.6659e+07	2.03645e+07	2.61335e+06	4.08979e+06	4.55189e+06	5.90076e+06	3.12313e+06	4.75615e+06	2.55115e+06	2.40531e+06	3.26922e+06	3.70007e+06	5.24874e+06	4.01648e+06
A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8	6	6	383578	90153.2	79810	125151	98869.5	126981	144419	132580	40588.8	36663.8	41614.6	59119.6	18225.7	46617		23707.9				38566.5
A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	44	30	3.00888e+07	1.44789e+07	9.05802e+06	1.00499e+07	6.16037e+06	5.73695e+06	1.15888e+07	1.69792e+07	1.79602e+06	2.77055e+06	2.56431e+06	4.94093e+06	2.42724e+06	3.29759e+06	2.12743e+06	1.82181e+06	1.80474e+06	2.03959e+06	3.69853e+06	3.57142e+06
A2A5Z6	SMUF2_MOUSE	Smurf2	E3 ubiquitin-protein ligase SMURF2	7	4	501072	139870	295289	230651	323523	203325	347306	306138	121801	242746	215263	272526	53997	84888.6	37857.5		123131		229334	129833
A2A690	TANC2_MOUSE	Tanc2	Protein TANC2	65	64	5.3132e+07	2.80503e+07	1.91285e+07	3.23922e+07	2.42658e+07	2.79917e+07	2.76513e+07	3.36677e+07	3.90744e+06	6.57896e+06	7.13102e+06	1.30208e+07	6.29217e+06	8.73389e+06	3.10597e+06	3.50372e+06	3.77035e+06	3.17571e+06	5.31669e+06	7.23752e+06
A2A699	F1712_MOUSE	Fam171a2	Protein FAM171A2	28	28	4.7217e+07	2.47576e+07	2.42205e+07	4.06059e+07	3.0503e+07	2.42345e+07	3.97981e+07	4.84744e+07	7.02538e+06	9.79932e+06	1.10111e+07	1.63691e+07	8.31298e+06	1.32589e+07	6.0056e+06	4.14805e+06	6.46381e+06	5.3244e+06	7.09436e+06	1.35547e+07
A2A6A1	GPTC8_MOUSE	Gpatch8	G patch domain-containing protein 8	19	18	9.44954e+06	3.01084e+06	5.07738e+06	7.25948e+06	3.90468e+06	3.08709e+06	1.00797e+07	1.60149e+07	765234	1.27858e+06	1.72669e+06	1.95772e+06	1.1088e+06	1.91986e+06	693828	1.18631e+06	1.32557e+06	1.23132e+06	2.5628e+06	2.63572e+06
A2A6Q5	CDC27_MOUSE	Cdc27	Cell division cycle protein 27 homolog	12	12	4.65502e+06	1.49999e+06	1.93666e+06	1.26886e+06	1.45997e+06	1.42122e+06	3.01875e+06	3.3908e+06	490572	576228	873863	947980	440970	704833		387905	422327	464692	1.06217e+06	733124
A2A6T1	CDR2L_MOUSE	Cdr2l	Cerebellar degeneration-related protein 2-like	11	11	2.23391e+06	1.55762e+06	1.55795e+06	1.45005e+06	637065	681457	1.79574e+06	2.60258e+06	219463	500042	340808	550984	486073	641793	342219	231169	507050	483082	457787	651725
A2A791	ZMYM4_MOUSE	Zmym4	Zinc finger MYM-type protein 4	14	14	1.19751e+06	837285	639414	655533	692992	531452	834814	1.05963e+06	140510	347679	191131	432574	211482	298431	134970	142653		163743	398222	306114
A2A7S8	K1522_MOUSE	Kiaa1522	Uncharacterized protein KIAA1522	30	30	1.00448e+07	5.83935e+06	4.50249e+06	7.67181e+06	7.61113e+06	5.49265e+06	7.24927e+06	6.9192e+06	1.06358e+06	1.12091e+06	2.13109e+06	2.90803e+06	1.32942e+06	1.81094e+06	666693	1.07082e+06	882951	1.15637e+06	1.2195e+06	1.87093e+06
A2A863	ITB4_MOUSE	Itgb4	Integrin beta-4	3	3	384945	68930.1		163259		96513.8	89271.6	132956		42568.6		77535						24163.9		
A2A870	FBF1_MOUSE	Fbf1	Fas-binding factor 1	2	2	423072			257373		143373		337272												
A2A884	ZEP3_MOUSE	Hivep3	Transcription factor HIVEP3	6	6	20148.9		62019.3	36892.9	45355.7	33974.3	68120.7	105207	7621.82	4790.85	12346.3	8746.7	23530.2	7202.31					11246.6	11563.4
A2A891	CMTA1_MOUSE	Camta1	Calmodulin-binding transcription activator 1	16	14	522840	261190	204138	322290	255048	228765	233725	135130	57880.3	78555.8	86886.1	165501	66437.1	87437.9	64859.3	53698.6	67072.1	87806.6	124753	66647.5
A2A8L1	CHD5_MOUSE	Chd5	Chromodomain-helicase-DNA-binding protein 5	20	20	2.55615e+06	1.62094e+06	630700	1.29544e+06	986333	860812	1.21492e+06	851794	296500	422872	397443	683660	312108	366663	237183	225799	132635	162098	246738	316821
A2A8L5	PTPRF_MOUSE	Ptprf	Receptor-type tyrosine-protein phosphatase F	24	24	3.92826e+06	1.50239e+06	947230	2.45473e+06	1.11109e+06	1.04239e+06	1.73827e+06	1.98394e+06	536124	615471	672469	699447	556070	1.02142e+06	307332		236032	248349	333675	497603
A2A8U2	TM201_MOUSE	Tmem201	Transmembrane protein 201	10	10	1.3773e+06	856847	558681	1.2789e+06	558881	378761	719075	331826	184453	190200	207644	373193	159602	346472	153017	132195	146506	181307	191602	174037
A2A8Z1	OSBL9_MOUSE	Osbpl9	Oxysterol-binding protein-related protein 9	10	10	2.02266e+06	1.05201e+06	826865	849698	727498	533546	1.33199e+06	1.16408e+06	245414	397335	308968	495592	251324	459163	163575		183217	302453	618844	388929
A2A9C3	SZT2_MOUSE	Szt2	KICSTOR complex protein SZT2	22	22	1.42859e+06	531222	412956	927936	346772	510228	576274	1.18277e+06	120265	160911	125006	288694	229730	358697	222553	176780			222587	185956
A2A9Q0	FND10_MOUSE	Fndc10	Fibronectin type III domain-containing protein 10	3	3	1.72527e+06	1.72225e+06	139749	1.13753e+06	460193	522553	650642	502370	344810	121992		192854								
A2A9T0	TBKB1_MOUSE	Tbkbp1	TANK-binding kinase 1-binding protein 1	10	10	248700	160921	154264	220245	150498	251501	130679	240404	37312.4	123024	66003.8	168822	75752.9	154439			73202.6			55110.5
A2AAE1	K1109_MOUSE	Kiaa1109	Transmembrane protein KIAA1109	76	76	4.97553e+06	2.52386e+06	1.73235e+06	3.0308e+06	1.80036e+06	2.26787e+06	3.2847e+06	3.2382e+06	585188	662245	606586	1.2224e+06	672120	977281	593066	579355	503684	549396	777200	863803
A2AAY5	SPD2B_MOUSE	Sh3pxd2b	SH3 and PX domain-containing protein 2B	12	12	7.01977e+06	4.19474e+06	5.80561e+06	4.31449e+06	4.91593e+06	4.7656e+06	5.86005e+06	9.96729e+06	839620	1.08501e+06	1.32815e+06	2.20946e+06	928709	1.82008e+06	821389	790967	1.12642e+06	1.02913e+06	1.63835e+06	1.11874e+06
A2AB59	RHG27_MOUSE	Arhgap27	Rho GTPase-activating protein 27	8	8	164106	125616	87776.3	102610	72194.3	37702.7	117190	63724.6	24068.7	42308.5	33890.2	53239.5	29701.6	42922.2		28736.4		28562.9		36885.3
A2ABV5	MED14_MOUSE	Med14	Mediator of RNA polymerase II transcription subunit 14	10	10	675697	314326	204122	411564	158957	161487	168598	191510	93739.4	94048.8	124565	144277		139533					66576.4	
A2ACJ2	FP100_MOUSE	Faap100	Fanconi anemia core complex-associated protein 100	2	2	15673.8	12681.7	6897.48	2906.58	7608.73	16104.9	8152.29	11116.7		7435.77		3139.17		7947.5					10248.6	1897.42
A2ADA5	PUSL1_MOUSE	Pusl1	tRNA pseudouridine synthase-like 1	6	6	2.02526e+06	518209	1.42713e+06	953513	1.18843e+06	782321	733283	735652	304618	404914	520986	445042	215478	444799	331003	80231.4	432721	293784	447018	415497
A2ADY9	DDI2_MOUSE	Ddi2	Protein DDI1 homolog 2	15	15	3.17751e+07	1.12185e+07	1.67717e+07	2.31849e+07	1.33922e+07	1.09652e+07	3.75485e+07	5.18532e+07	3.43033e+06	4.64807e+06	3.53696e+06	6.18358e+06	3.97427e+06	8.4963e+06	1.65821e+06	1.1456e+06	1.62305e+06	2.49602e+06	3.79604e+06	8.47398e+06
A2AEV7	CC120_MOUSE	Ccdc120	Coiled-coil domain-containing protein 120	28	28	9.11285e+06	3.83345e+06	6.92634e+06	7.27645e+06	4.84334e+06	4.52857e+06	6.17086e+06	7.23013e+06	869312	1.81936e+06	1.51998e+06	2.58104e+06	1.21204e+06	1.60707e+06	1.07031e+06	625006	1.48358e+06	1.19346e+06	1.83727e+06	1.10196e+06
A2AF47	DOC11_MOUSE	Dock11	Dedicator of cytokinesis protein 11	12	12	1.109e+06	375710	223373	508912	197762	322135	295002	344342	147813		211169	201214	136492	191737	179961	183356		162491	184746	109379
A2AFR3	FRPD4_MOUSE	Frmpd4	FERM and PDZ domain-containing protein 4	26	25	3.7374e+06	1.88176e+06	1.20169e+06	2.90266e+06	1.96161e+06	1.9529e+06	2.19576e+06	4.18057e+06	386737	555621	444784	781907	536834	804873	419551	266754		274559	648407	954678
A2AFS3	ELAP1_MOUSE	Elapor1	Endosome/lysosome-associated apoptosis and autophagy regulator 1	10	10	3.77756e+06	1.71042e+06	2.33167e+06	3.13614e+06	2.39967e+06	1.84217e+06	4.14527e+06	4.36419e+06	419481	588929	811583	1.15128e+06	528269	1.16314e+06		288806	502893	884512	1.62575e+06	763006
A2AG50	MA7D2_MOUSE	Map7d2	MAP7 domain-containing protein 2	57	56	1.36103e+08	6.78586e+07	1.20388e+08	1.05288e+08	1.00659e+08	9.75452e+07	1.00877e+08	1.85601e+08	2.1673e+07	2.37325e+07	2.94871e+07	3.81057e+07	2.30171e+07	3.2421e+07	2.16721e+07	1.72876e+07	2.74464e+07	1.87484e+07	4.48557e+07	3.2547e+07
A2AG58	BCLA3_MOUSE	Bclaf3	BCLAF1 and THRAP3 family member 3	4	4	765657	306749	306645	330539	1.604e+06	516404	615436	1.22599e+06	479946							140647			374700	
A2AGH6	MED12_MOUSE	Med12	Mediator of RNA polymerase II transcription subunit 12	12	10	1.31021e+06	539066	340787	454503	365671	452729	378478	499185	127153	168213	180859	280151	135249	207668	89265.1	186796			195356	157034
A2AGL3	RYR3_MOUSE	Ryr3	Ryanodine receptor 3	11	10	315276	47653.1	91085.2	98161.8	52962.3	74912.7	105641	107141		38286.2	16414	41759.6	40209.8	43836.4					36306.7	
A2AGT5	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	116	116	1.99342e+08	6.67036e+07	4.5581e+07	5.52811e+07	3.45304e+07	4.16755e+07	4.50644e+07	5.1498e+07	8.02186e+06	1.58208e+07	1.46754e+07	2.25423e+07	1.20501e+07	1.61187e+07	6.96981e+06	5.96516e+06	6.09689e+06	4.68208e+06	8.40222e+06	1.03085e+07
A2AH22	AMRA1_MOUSE	Ambra1	Activating molecule in BECN1-regulated autophagy protein 1	8	8	430125	204123	164550	375156	196873	260909	206562	277203	81573.6	61289.6		105250	74970.7	150268						101441
A2AHC3	CAMP1_MOUSE	Camsap1	Calmodulin-regulated spectrin-associated protein 1	63	61	1.83779e+07	8.00658e+06	9.41004e+06	1.17105e+07	9.22126e+06	8.41993e+06	1.1427e+07	1.59812e+07	2.14043e+06	2.59264e+06	2.74163e+06	4.05265e+06	2.03479e+06	3.09218e+06	1.43296e+06	1.26719e+06	1.86468e+06	1.86632e+06	3.21493e+06	2.92878e+06
A2AHG0	LZTS3_MOUSE	Lzts3	Leucine zipper putative tumor suppressor 3	40	40	2.7894e+07	1.20363e+07	1.31053e+07	2.12884e+07	1.2028e+07	1.05285e+07	1.8683e+07	2.79047e+07	2.47868e+06	4.32966e+06	3.29655e+06	5.6017e+06	3.43302e+06	6.81337e+06	1.91095e+06	1.80378e+06	3.11451e+06	2.98818e+06	4.67725e+06	5.211e+06
A2AHL1	ANO3_MOUSE	Ano3	Anoctamin-3	12	12	3.86052e+06	1.98533e+06	1.78883e+06	1.98981e+06	1.44344e+06	1.48267e+06	1.7648e+06	1.65842e+06	545228	575723	719556	924569	615489	609857	590242	161194	446037	467524	624896	775242
A2AI05	NDOR1_MOUSE	Ndor1	NADPH-dependent diflavin oxidoreductase 1	3	3	171291	93389.3		88071.4	46324	32008.9	10187.7				31263.6	45991.1								
A2AI08	TPRN_MOUSE	Tprn	Taperin	22	22	8.37291e+06	4.04347e+06	4.22436e+06	5.01087e+06	4.4752e+06	5.70266e+06	3.34755e+06	4.72508e+06	1.00884e+06	1.20584e+06	1.2693e+06	1.84762e+06	1.24291e+06	2.29854e+06	730167	536557	999808	729477	884840	1.2298e+06
A2AIL4	NDUF6_MOUSE	Ndufaf6	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	10	10	1.17997e+07	2.81756e+06	7.37276e+06	5.21164e+06	4.31764e+06	3.81682e+06	4.21245e+06	3.295e+06	659283	1.8126e+06	1.86318e+06	1.56199e+06	607907	1.42127e+06	691919	810184	1.07601e+06	821246	2.07764e+06	888870
A2AIP0	F166B_MOUSE	Fam166b	Protein FAM166B	1	1	641409					287635														
A2AIR5	NMD3A_MOUSE	Grin3a	Glutamate receptor ionotropic, NMDA 3A	4	4	1.7008e+06	629584	1.31559e+06	1.86489e+06	2.26432e+06	1.40255e+06	2.68415e+06	3.82009e+06		159708	143876	363432			197614					216131
A2AIV2	VIR_MOUSE	Virma	Protein virilizer homolog	6	6	3.48332e+06	1.62482e+06	721482	1.28095e+06	1.15285e+06	1.84851e+06	1.02264e+06	741198	224644	393587	442612	1.21489e+06	672274	519145	202001					427788
A2AJ15	MA1B1_MOUSE	Man1b1	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	8	8	1.76079e+07	1.23046e+07	1.89381e+07	1.48318e+07	1.1485e+07	7.91655e+06	2.62106e+07	3.7694e+07	1.07249e+06	7.78075e+06	4.90406e+06	9.84064e+06		1.01638e+07			6.33855e+06	6.40154e+06	1.15978e+07	1.71385e+07
A2AJ88	PLPL7_MOUSE	Pnpla7	Patatin-like phospholipase domain-containing protein 7	6	6	2.58919e+06	885763	752774	886407	1.46674e+06	776673	1.47678e+06	1.80951e+06	192692	615588	467696	505615		876207			747763			582534
A2AJA9	AJM1_MOUSE	Ajm1	Apical junction component 1 homolog	65	65	5.41631e+07	3.08011e+07	3.69014e+07	4.08822e+07	4.55897e+07	4.93231e+07	3.20068e+07	4.15338e+07	7.91749e+06	9.01928e+06	1.16846e+07	1.76781e+07	7.0563e+06	1.1541e+07	5.26938e+06	4.90047e+06	8.22087e+06	5.18137e+06	1.09886e+07	9.126e+06
A2AJI0	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	59	58	1.54651e+08	8.26283e+07	1.34889e+08	1.00916e+08	1.71715e+08	1.32189e+08	1.38541e+08	2.07854e+08	3.75386e+07	2.81e+07	4.33667e+07	5.58771e+07	2.8906e+07	4.06999e+07	2.50841e+07	2.04931e+07	3.91062e+07	2.94081e+07	5.84182e+07	4.73777e+07
A2AJL3	FGGY_MOUSE	Fggy	FGGY carbohydrate kinase domain-containing protein	2	2	65677.7	19988.8	27034.9	47559.3	18864.4	7027.26	35270.7	20668.4	3828.85	18744.4	10410.2	10395		18052.3			9416.55		6490.32	6307.83
A2AJT4	PNISR_MOUSE	Pnisr	Arginine/serine-rich protein PNISR	5	5	2.82039e+06	706471	985964	2.56629e+06	1.73973e+06	1.48657e+06	3.15604e+06	2.88236e+06	104166	330813	311652	476172	278353	483567	91066.9	168557	143803	160534	264038	605513
A2AKB4	FRPD1_MOUSE	Frmpd1	FERM and PDZ domain-containing protein 1	3	3	66937.6	9651.82		20277.2	5001.29	14336.9	27398.6	5938.9	4493.62	5385.69				5643.31					4493.5	9086.07
A2AKB9	DCA10_MOUSE	Dcaf10	DDB1- and CUL4-associated factor 10	9	9	153770	177340	105403	215501	106042	117544	143910	155156	18015.5	50400.7	61272.9	62573.2	54600.4	49377.6			45303.8	45979.7	59893.4	55408.4
A2AKG8	FOCAD_MOUSE	Focad	Focadhesin	8	8	1.12796e+07	3.20296e+06	1.45042e+06	3.94396e+06	2.00033e+06	2.29224e+06	3.02245e+06	2.09401e+06	669140	554082	820985	1.02296e+06	736269	1.48748e+06	111986	146675	97898.7	303354	419110	727036
A2AKQ0	S35D1_MOUSE	Slc35d1	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter	1	1			884555	1.32859e+06	1.34047e+06		1.22876e+06			276376		435583		688181						346914
A2AKX3	SETX_MOUSE	Setx	Probable helicase senataxin	11	11	550692	217318	284440	240551	307223	485859	403566	414992		162197	175123	218299		203205	150767	166025			340068	205539
A2ALI5	AJAP1_MOUSE	Ajap1	Adherens junction-associated protein 1	1	1	145696		183426	69831.5	125100	103592		67051.2												
A2ALK8	PTN3_MOUSE	Ptpn3	Tyrosine-protein phosphatase non-receptor type 3	11	11	1.89143e+06	982278	240443	1.03075e+06	408668	335053	492187	528283	183883	91064	316557	262797		305470		293282		299339	369333	362765
A2ALS5	RPGP1_MOUSE	Rap1gap	Rap1 GTPase-activating protein 1	37	36	3.97911e+07	2.44635e+07	2.37004e+07	3.56357e+07	1.98905e+07	2.1499e+07	3.64946e+07	3.90832e+07	7.28935e+06	7.88539e+06	8.19537e+06	1.23799e+07	7.98564e+06	1.52824e+07	5.36764e+06	4.34577e+06	4.46341e+06	6.85107e+06	6.0349e+06	1.54339e+07
A2ALU4	SHRM2_MOUSE	Shroom2	Protein Shroom2	51	50	1.62089e+08	5.78406e+07	1.15e+08	1.08962e+08	7.89678e+07	6.15033e+07	1.59351e+08	3.71516e+08	1.09979e+07	2.4234e+07	2.40323e+07	3.26708e+07	2.12728e+07	3.38904e+07	2.07316e+07	1.51492e+07	2.36432e+07	2.4385e+07	4.02925e+07	4.2779e+07
A2AM29	AF9_MOUSE	Mllt3	Protein AF-9	3	3	79117.3	29757	85952.8	80756.7	62348.5	50747.2	123680	168337	18026.6	21218.2	12248	39272	12365	20612.3	18495.4	8728.97	14267.8	10488.2	28053.2	26330.8
A2AN08	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	98	98	4.11152e+07	1.84383e+07	9.16847e+06	1.49843e+07	7.7276e+06	1.09227e+07	1.54545e+07	1.50307e+07	2.3549e+06	3.38979e+06	3.46348e+06	7.6199e+06	3.67575e+06	6.01695e+06	2.83575e+06	2.35025e+06	1.96357e+06	2.00247e+06	3.74311e+06	4.06117e+06
A2ANU3	SYNG1_MOUSE	Syndig1	Synapse differentiation-inducing gene protein 1	3	3	758535	900374		999265	410318	273414	173472	222455		150754	184509	337831	209795	261458			113998	258010		350605
A2AP18	PLCH2_MOUSE	Plch2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	18	17	7.18398e+06	2.9685e+06	1.54876e+06	3.63096e+06	1.9817e+06	1.99581e+06	2.54709e+06	3.01999e+06	466918	841079	1.05276e+06	1.18769e+06	574302	1.25786e+06	483106	436524	521038	425230	1.01142e+06	588575
A2APT9	KLD7A_MOUSE	Klhdc7a	Kelch domain-containing protein 7A	9	9	2.60084e+06	1.3489e+06	954885	1.08419e+06	469165	839311	623939	1.0265e+06	430747	341873				486374				1478.18		551703
A2APV2	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	47	35	8.89026e+07	3.74261e+07	2.68094e+07	4.07729e+07	2.91038e+07	3.12081e+07	3.20979e+07	3.11507e+07	9.84024e+06	1.28184e+07	1.4622e+07	1.64417e+07	9.67202e+06	1.69153e+07	5.84272e+06	4.15808e+06	3.57687e+06	5.15855e+06	6.6e+06	9.26234e+06
A2APX8	SCN1A_MOUSE	Scn1a	Sodium channel protein type 1 subunit alpha	20	20	8.90674e+06	6.03913e+06	1.94626e+06	5.51312e+06	2.04708e+06	3.04993e+06	3.92124e+06	3.03699e+06	861016	1.06767e+06	848112	1.66133e+06	1.37207e+06	1.40255e+06	586117	702391	268907	787412	509174	1.30582e+06
A2APY7	NDUF5_MOUSE	Ndufaf5	Arginine-hydroxylase NDUFAF5, mitochondrial	12	12	1.62677e+07	4.63754e+06	1.27266e+07	1.30683e+07	8.64315e+06	8.0416e+06	1.75282e+07	3.01853e+07	1.15563e+06	2.63582e+06	2.37188e+06	4.44216e+06	1.94668e+06	4.71516e+06	1.70133e+06	1.51502e+06	2.69945e+06	2.65706e+06	6.25693e+06	4.27738e+06
A2AQ07	TBB1_MOUSE	Tubb1	Tubulin beta-1 chain	3	3	1.86362e+07	1.53732e+06	1.97557e+06	3.95378e+06	468718	1.44932e+06	4.29746e+06				719648								464439	
A2AQ19	RTF1_MOUSE	Rtf1	RNA polymerase-associated protein RTF1 homolog	19	19	5.34574e+06	2.55374e+06	2.3658e+06	3.23936e+06	2.59567e+06	1.89832e+06	4.56482e+06	6.28002e+06	523453	1.21082e+06	1.4363e+06	1.49332e+06	794590	1.01635e+06	763601	608776	807460	852150	1.639e+06	1.26957e+06
A2AQ25	SKT_MOUSE	Skt	Sickle tail protein	119	119	1.03572e+08	4.81299e+07	6.50189e+07	7.74656e+07	7.03603e+07	6.06258e+07	8.49084e+07	8.87765e+07	1.35616e+07	1.85379e+07	2.26391e+07	3.15038e+07	1.38196e+07	2.13114e+07	1.32239e+07	1.19565e+07	1.38167e+07	1.32885e+07	2.28882e+07	2.28808e+07
A2AQH4	BCORL_MOUSE	Bcorl1	BCL-6 corepressor-like protein 1	3	3	1.11043e+07	5.77833e+06	6.14816e+06	8.4849e+06	8.24683e+06	1.11389e+07	4.18825e+06	1.174e+07	3.02734e+06	1.88652e+06		3.90638e+06		1.78677e+06			1.02358e+06			1.9393e+06
A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G	14	14	1.11243e+07	8.59662e+06	8.45662e+06	7.52491e+06	5.3483e+06	3.33746e+06	1.01378e+07	1.09142e+07	1.90541e+06	1.78116e+06	3.31159e+06	4.15876e+06	1.35867e+06	2.47495e+06	1.68315e+06	1.08843e+06	1.51039e+06	1.5664e+06	3.59045e+06	2.29749e+06
A2AR50	RGPS1_MOUSE	Ralgps1	Ras-specific guanine nucleotide-releasing factor RalGPS1	19	19	3.09486e+06	2.57452e+06	1.84085e+06	2.55747e+06	2.923e+06	2.24986e+06	1.82795e+06	1.6945e+06	930943	701758	1.01631e+06	1.30533e+06	542182	1.09411e+06	421404	344184	359524	429508	730732	498162
A2ARI4	LGR4_MOUSE	Lgr4	Leucine-rich repeat-containing G-protein coupled receptor 4	2	2	92867.2	21600.8	35773.3	71618.7	60005.5	37681.6	106962	140079		13717.8	16908.1			23833.1						
A2ARP1	VIP1_MOUSE	Ppip5k1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	25	24	6.54298e+06	3.10871e+06	2.14184e+06	3.72075e+06	1.95089e+06	2.16462e+06	3.13341e+06	4.52945e+06	490217	737954	619013	1.58607e+06	507032	1.09497e+06	480858	497769	450579	605720	1.05827e+06	1.00826e+06
A2ARS0	ANR63_MOUSE	Ankrd63	Ankyrin repeat domain-containing protein 63	17	17	3.39467e+07	1.01272e+07	1.20856e+07	2.97952e+07	1.30792e+07	1.30729e+07	4.40417e+06	7.24535e+06	2.03794e+06	4.74926e+06	4.46234e+06	5.67475e+06	2.70895e+06	1.21304e+07	655216	961983	1.75146e+06	998442	1.04728e+06	817390
A2AS55	ANR16_MOUSE	Ankrd16	Ankyrin repeat domain-containing protein 16	1	1		69282.6	122579				158311	364281											74079.5	
A2ASI5	SCN3A_MOUSE	Scn3a	Sodium channel protein type 3 subunit alpha	5	4	1.24894e+07	6.74241e+06	3.29076e+06	7.73036e+06	3.87823e+06	5.00045e+06	5.588e+06	7.67258e+06	868952	1.31696e+06	1.38125e+06	3.73706e+06	1.70101e+06	2.65323e+06	285300	780287	214817	1.28104e+06	811156	2.10887e+06
