Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q9WTY1	PDCD7_MOUSE	Pdcd7	Programmed cell death protein 7	3	3	32331.6	24628.8	33719.8		30318.2	14032	22618.5
Q9WTZ1	RBX2_MOUSE	Rnf7	RING-box protein 2	2	2	1.02E+07	9.39E+06	9.79E+06	5.79E+06	9.19E+06	1.03E+07	1.12E+07
Q9WTZ8	BEX2_MOUSE	Bex2	Protein BEX2	1	1		105512		48748.4			69871
Q9WU00	NRF1_MOUSE	Nrf1	Nuclear respiratory factor 1	6	6	4.07E+06	4.71E+06	3.69E+06	3.32E+06	4.86E+06	5.26E+06	5.17E+06
Q9WU01	KHDR2_MOUSE	Khdrbs2	"KH domain-containing, RNA-binding, signal transduction-associated protein 2"	10	10	7.16E+06	7.33E+06	6.99E+06	4.91E+06	8.49E+06	8.74E+06	9.00E+06
Q9WU03-2;Q9WU03	SPIT2_MOUSE	Spint2	Kunitz-type protease inhibitor 2	1	1	57367	55343	67882.7		32217.4	30884.3	
Q9WU12	SNURF_MOUSE	Snurf	SNRPN upstream reading frame protein	2	2	93702.3	55359.9	96541.5	74309.1	70573.4	104259	123039
Q9WU20	MTHR_MOUSE	Mthfr	Methylenetetrahydrofolate reductase (NADPH)	5	5	1.55E+06	1.36E+06	1.27E+06	1.51E+06	1.95E+06	2.51E+06	2.32E+06
Q9WU22	PTN4_MOUSE	Ptpn4	Tyrosine-protein phosphatase non-receptor type 4	23	23	2.59E+07	2.41E+07	2.48E+07	1.45E+07	2.31E+07	2.36E+07	2.64E+07
Q9WU28	PFD5_MOUSE	Pfdn5	Prefoldin subunit 5	8	8	1.19E+07	1.21E+07	1.60E+07	5.63E+06	1.37E+07	1.20E+07	1.51E+07
Q9WU40-2;Q9WU40	MAN1_MOUSE	Lemd3	Inner nuclear membrane protein Man1	36	36	9.55E+06	9.94E+06	9.58E+06	5.98E+06	1.02E+07	1.04E+07	1.02E+07
Q9WU42	NCOR2_MOUSE	Ncor2	Nuclear receptor corepressor 2	65	63	5.45E+06	5.22E+06	5.28E+06	3.74E+06	5.44E+06	6.12E+06	5.88E+06
Q9WU56	PUS1_MOUSE	Pus1	Pseudouridylate synthase 1 homolog	13	13	1.38E+06	1.42E+06	1.26E+06	871294	1.33E+06	1.43E+06	1.55E+06
Q9WU60	ATRN_MOUSE	Atrn	Attractin	31	31	3.58E+06	3.37E+06	3.45E+06	2.18E+06	3.20E+06	3.75E+06	3.86E+06
Q9WU63	HEBP2_MOUSE	Hebp2	Heme-binding protein 2	5	5	259793	246593	223254	161835	271210	276008	275199
Q9WU78	PDC6I_MOUSE	Pdcd6ip	Programmed cell death 6-interacting protein	57	57	2.38E+07	2.34E+07	2.33E+07	1.66E+07	2.51E+07	2.67E+07	2.69E+07
Q9WU78-3	PDC6I_MOUSE	Pdcd6ip	Isoform 3 of Programmed cell death 6-interacting protein	1	1	2.46E+06	1.94E+06	1.81E+06	1.95E+06	2.86E+06	2.90E+06	3.31E+06
Q9WU79	PROD_MOUSE	Prodh	"Proline dehydrogenase 1, mitochondrial"	35	35	1.18E+07	1.03E+07	9.34E+06	7.27E+06	1.14E+07	1.14E+07	1.09E+07
Q9WU81;Q9WU81-2	G6PT3_MOUSE	Slc37a2	Glucose-6-phosphate exchanger SLC37A2	2	2					37067.3		
Q9WU84	CCS_MOUSE	Ccs	Copper chaperone for superoxide dismutase	10	10	4.89E+06	5.33E+06	4.38E+06	3.66E+06	5.25E+06	5.23E+06	6.04E+06
Q9WUA2	SYFB_MOUSE	Farsb	Phenylalanine--tRNA ligase beta subunit	33	33	5.47E+07	5.63E+07	5.42E+07	4.03E+07	5.96E+07	6.09E+07	6.31E+07
Q9WUA3	PFKAP_MOUSE	Pfkp	"ATP-dependent 6-phosphofructokinase, platelet type"	50	47	2.50E+08	2.42E+08	2.45E+08	2.00E+08	2.68E+08	2.76E+08	2.66E+08
Q9WUA5	EPM2A_MOUSE	Epm2a	Laforin	3	3	131644	105742	118534	52558.7	97890.8	86929.1	146827
Q9WUA6	AKT3_MOUSE	Akt3	RAC-gamma serine/threonine-protein kinase	31	23	1.94E+07	1.84E+07	1.82E+07	1.31E+07	1.82E+07	2.05E+07	1.87E+07
Q9WUB0	HOIL1_MOUSE	Rbck1	RanBP-type and C3HC4-type zinc finger-containing protein 1	22	22	4.54E+07	4.56E+07	4.58E+07	3.29E+07	5.31E+07	4.57E+07	5.46E+07
Q9WUB3	PYGM_MOUSE	Pygm	"Glycogen phosphorylase, muscle form"	53	51	4.04E+07	4.07E+07	4.56E+07	2.86E+07	4.39E+07	4.85E+07	5.01E+07
Q9WUB4	DCTN6_MOUSE	Dctn6	Dynactin subunit 6	7	7	1.30E+07	1.25E+07	1.23E+07	8.81E+06	1.34E+07	1.47E+07	1.31E+07
Q9WUC3	LY6H_MOUSE	Ly6h	Lymphocyte antigen 6H	8	8	3.15E+08	3.34E+08	3.67E+08	2.06E+08	3.00E+08	4.22E+08	4.29E+08
Q9WUD1	CHIP_MOUSE	Stub1	E3 ubiquitin-protein ligase CHIP	27	27	1.37E+07	1.42E+07	1.40E+07	1.01E+07	1.53E+07	1.54E+07	1.62E+07
Q9WUD8	FAIM1_MOUSE	Faim	Fas apoptotic inhibitory molecule 1	11	11	4.45E+06	4.62E+06	4.04E+06	2.94E+06	4.70E+06	5.18E+06	4.75E+06
Q9WUE3	C56D2_MOUSE	Cyb561d2	Transmembrane reductase CYB561D2	1	1	1.18E+06	1.17E+06	1.10E+06	1.01E+06	1.21E+06	1.55E+06	1.35E+06
Q9WUE4	NPRL2_MOUSE	Nprl2	GATOR complex protein NPRL2	12	12	2.72E+06	2.55E+06	2.69E+06	1.70E+06	2.04E+06	3.02E+06	2.97E+06
Q9WUH1	TM115_MOUSE	Tmem115	Transmembrane protein 115	3	3	493900	481857	550431	363243	510330	580812	458145
Q9WUH7	SEM4G_MOUSE	Sema4g	Semaphorin-4G	4	4	55608.8	66561.1	70677.2	42835.6	61827.8	69326.3	73632.6
Q9WUI1	MK11_MOUSE	Mapk11	Mitogen-activated protein kinase 11	9	9	1.69E+06	1.36E+06	1.53E+06	944806	1.48E+06	1.57E+06	1.60E+06
Q9WUK2	IF4H_MOUSE	Eif4h	Eukaryotic translation initiation factor 4H	20	20	8.41E+07	8.94E+07	8.96E+07	6.69E+07	8.84E+07	9.50E+07	9.37E+07
