Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
A0A087WPF7	AUTS2_MOUSE	Auts2	Autism susceptibility gene 2 protein homolog	8	8	433921	409493	336375	212208	437245	394261	501640
A0A0G2JDV3	GBP6_MOUSE	Gbp6	Guanylate-binding protein 6	7	7	436995	496599	375662	495912	594216	691227	618553
A0A1W2P872	NOVA2_MOUSE	Nova2	RNA-binding protein Nova-2	20	16	3.86E+07	3.90E+07	3.89E+07	2.73E+07	4.35E+07	4.24E+07	4.34E+07
A0A7N9VSG0	SPA5L_MOUSE	Spata5l1	Ribosome biogenesis protein SPATA5L1	4	4	35596.2	39285	26683.4	73614.3	98048.1	40160.4	
A0JNU3	LPP60_MOUSE	Aspg	60 kDa lysophospholipase	1	1							36479.5
A1A5B6	TBC25_MOUSE	Tbc1d25	TBC1 domain family member 25	12	12	5.81E+06	5.42E+06	5.06E+06	4.08E+06	5.76E+06	5.94E+06	6.21E+06
A1L314	MPEG1_MOUSE	Mpeg1	Macrophage-expressed gene 1 protein	3	3		11638.2			10142.7	10190.6	10720.6
A2A432	CUL4B_MOUSE	Cul4b	Cullin-4B	53	40	1.30E+07	1.28E+07	1.33E+07	8.80E+06	1.37E+07	1.44E+07	1.48E+07
A2A4P0	DHX8_MOUSE	Dhx8	ATP-dependent RNA helicase DHX8	15	15	870796	703343	876091	579505	846698	834345	858070
A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	83	63	9.35E+07	9.11E+07	9.23E+07	6.49E+07	9.54E+07	9.68E+07	9.94E+07
A2A5Z6	SMUF2_MOUSE	Smurf2	E3 ubiquitin-protein ligase SMURF2	11	8	3.46E+06	3.49E+06	3.02E+06	2.00E+06	3.61E+06	3.21E+06	4.00E+06
A2A690	TANC2_MOUSE	Tanc2	Protein TANC2	2	2	456337	402844	465819	470340	574015	533924	486077
A2A690-2	TANC2_MOUSE	Tanc2	Isoform 2 of Protein TANC2	86	85	1.42E+07	1.39E+07	1.43E+07	9.99E+06	1.38E+07	1.43E+07	1.47E+07
A2A699	F1712_MOUSE	Fam171a2	Protein FAM171A2	31	31	1.46E+07	1.53E+07	1.59E+07	1.05E+07	1.58E+07	1.63E+07	1.76E+07
A2A6A1	GPTC8_MOUSE	Gpatch8	G patch domain-containing protein 8	17	15	3.04E+06	3.06E+06	3.66E+06	2.00E+06	3.75E+06	3.65E+06	3.37E+06
A2A6Q5;A2A6Q5-3	CDC27_MOUSE	Cdc27	Cell division cycle protein 27 homolog	17	17	1.62E+06	1.66E+06	1.57E+06	1.09E+06	1.64E+06	1.84E+06	1.63E+06
A2A6T1	CDR2L_MOUSE	Cdr2l	Cerebellar degeneration-related protein 2-like	16	16	1.00E+07	8.54E+06	7.56E+06	7.07E+06	1.02E+07	1.07E+07	1.06E+07
A2A791	ZMYM4_MOUSE	Zmym4	Zinc finger MYM-type protein 4	17	17	9.48E+06	9.51E+06	8.94E+06	6.67E+06	9.01E+06	1.13E+07	9.50E+06
A2A7S8-2	K1522_MOUSE	Kiaa1522	Isoform 2 of Uncharacterized protein KIAA1522	12	12	3.57E+07	4.09E+07	4.50E+07	2.51E+07	4.76E+07	3.43E+07	5.48E+07
A2A863-2;A2A863-3	ITB4_MOUSE	Itgb4	Isoform 2 of Integrin beta-4	10	10	50020.6	74950.7	48744.5	40553.6	91293.1	81614.4	68630.4
A2A870	FBF1_MOUSE	Fbf1	Fas-binding factor 1	4	4		236255	386612	448774	481097	551070	482765
A2A891	CMTA1_MOUSE	Camta1	Calmodulin-binding transcription activator 1	12	12	1.33E+07	1.24E+07	1.26E+07	7.59E+06	1.31E+07	1.50E+07	1.25E+07
A2A891-3	CMTA1_MOUSE	Camta1	Isoform 3 of Calmodulin-binding transcription activator 1	1	1	22679.9	22634.7	15635.8	15717.3	26290.9	20211	25532.2
A2A8L1	CHD5_MOUSE	Chd5	Chromodomain-helicase-DNA-binding protein 5	31	31	9.81E+06	1.11E+07	1.14E+07	6.40E+06	1.12E+07	1.02E+07	1.16E+07
A2A8L5	PTPRF_MOUSE	Ptprf	Receptor-type tyrosine-protein phosphatase F	53	53	1.42E+07	1.64E+07	1.63E+07	1.05E+07	1.71E+07	1.80E+07	1.91E+07
A2A8U2;A2A8U2-2;A2A8U2-3	TM201_MOUSE	Tmem201	Transmembrane protein 201	9	9	1.27E+07	1.12E+07	1.04E+07	6.82E+06	1.22E+07	1.26E+07	1.34E+07
A2A8Z1	OSBL9_MOUSE	Osbpl9	Oxysterol-binding protein-related protein 9	20	20	3.69E+06	4.05E+06	4.20E+06	3.06E+06	4.52E+06	4.77E+06	4.67E+06
A2A9C3	SZT2_MOUSE	Szt2	KICSTOR complex protein SZT2	42	42	2.24E+07	2.53E+07	2.36E+07	1.78E+07	2.67E+07	2.69E+07	2.56E+07
A2A9Q0	FND10_MOUSE	Fndc10	Fibronectin type III domain-containing protein 10	6	6	1.20E+06	938877	1.20E+06	729287	913400	1.23E+06	1.26E+06
A2A9T0	TBKB1_MOUSE	Tbkbp1	TANK-binding kinase 1-binding protein 1	11	11	360654	394194	369903	286510	411487	419459	477332
A2AA28	MET23_MOUSE	Mettl23	Histone-arginine methyltransferase METTL23	2	2	998246	1.53E+06	1.18E+06	929234	966410	795600	1.14E+06
A2AAE1-2	BLTP1_MOUSE	Bltp1	Isoform 2 of Bridge-like lipid transfer protein family member 1	118	118	1.77E+07	1.70E+07	1.82E+07	1.22E+07	1.70E+07	1.98E+07	1.75E+07
A2AAX3	KLH15_MOUSE	Klhl15	Kelch-like protein 15	3	3	9.36E+06	8.69E+06	7.65E+06	6.00E+06	1.15E+07	7.97E+06	1.03E+07
A2AAY5	SPD2B_MOUSE	Sh3pxd2b	SH3 and PX domain-containing protein 2B	14	14	1.03E+07	1.10E+07	1.20E+07	7.90E+06	1.14E+07	1.27E+07	1.28E+07
A2AB59	RHG27_MOUSE	Arhgap27	Rho GTPase-activating protein 27	7	7	706524	612665	565064	394602	805928	757957	745459
A2AB59-2	RHG27_MOUSE	Arhgap27	Isoform 2 of Rho GTPase-activating protein 27	1	1		31812.1		17977.4	17615.4	23250.8	30510.8
A2ABV5	MED14_MOUSE	Med14	Mediator of RNA polymerase II transcription subunit 14	11	11	335828	355292	309680	254790	554416	447597	388507
A2ACJ2	FP100_MOUSE	Faap100	Fanconi anemia core complex-associated protein 100	6	6	40433.3	39231.2	50110	24872.6	54862.9	44894.7	56851.3
A2ADA5	PUSL1_MOUSE	Pusl1	tRNA pseudouridine synthase-like 1	6	6	1.01E+06	832115	1.05E+06	606621	979291	1.09E+06	1.50E+06
A2ADF7	S2534_MOUSE	Slc25a34	Solute carrier family 25 member 34	1	1			19366.9	19285.9	35887.1	10404.2	32098.4
A2ADY9	DDI2_MOUSE	Ddi2	Protein DDI1 homolog 2	20	17	1.69E+07	1.71E+07	1.60E+07	1.27E+07	1.77E+07	1.83E+07	1.70E+07
A2AEP0	OBP1B_MOUSE	Obp1b	Odorant-binding protein 1b	1	1							
A2AEV7	CC120_MOUSE	Ccdc120	Coiled-coil domain-containing protein 120	14	14	8.29E+06	6.75E+06	7.17E+06	3.80E+06	7.98E+06	6.72E+06	7.76E+06
A2AF47	DOC11_MOUSE	Dock11	Dedicator of cytokinesis protein 11	59	59	8.57E+06	9.11E+06	7.04E+06	5.73E+06	8.20E+06	9.32E+06	9.39E+06
A2AF53	T185A_MOUSE	Tmem185a	Transmembrane protein 185A	3	1	2.34E+06	2.21E+06	1.14E+06	1.44E+06	1.15E+06	1.15E+06	2.05E+06
A2AFR3-2;A2AFR3;A2AFR3-3	FRPD4_MOUSE	Frmpd4	FERM and PDZ domain-containing protein 4	46	45	2.86E+06	2.55E+06	2.59E+06	1.99E+06	2.99E+06	3.02E+06	3.00E+06
A2AFS3	ELAP1_MOUSE	Elapor1	Endosome/lysosome-associated apoptosis and autophagy regulator 1	11	11	1.65E+06	1.82E+06	1.66E+06	989177	1.64E+06	2.15E+06	1.90E+06
A2AG06;A2AG06-2	MEIOC_MOUSE	Meioc	Meiosis-specific coiled-coil domain-containing protein MEIOC	1	1				7.75E+06			
A2AG50	MA7D2_MOUSE	Map7d2	MAP7 domain-containing protein 2	45	45	1.52E+07	1.45E+07	1.38E+07	1.15E+07	1.59E+07	1.58E+07	1.45E+07
A2AGH6;A2AGH6-2	MED12_MOUSE	Med12	Mediator of RNA polymerase II transcription subunit 12	6	5	255649	241798	219817	162205	277916	286755	436670
A2AGL3;A2AGL3-2	RYR3_MOUSE	Ryr3	Ryanodine receptor 3	95	91	3.08E+07	3.29E+07	2.87E+07	2.48E+07	3.50E+07	3.73E+07	3.49E+07
A2AGT5;A2AGT5-3	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	111	111	2.70E+07	2.60E+07	2.54E+07	1.91E+07	2.75E+07	2.87E+07	2.84E+07
A2AH22;A2AH22-2;A2AH22-6;A2AH22-7	AMRA1_MOUSE	Ambra1	Activating molecule in BECN1-regulated autophagy protein 1	17	17	539469	464562	453492	321650	434848	462469	476492
A2AHC3	CAMP1_MOUSE	Camsap1	Calmodulin-regulated spectrin-associated protein 1	68	67	1.82E+07	1.81E+07	1.88E+07	1.24E+07	1.83E+07	2.01E+07	1.89E+07
A2AHG0	LZTS3_MOUSE	Lzts3	Leucine zipper putative tumor suppressor 3	30	30	4.80E+06	4.86E+06	4.56E+06	3.02E+06	4.17E+06	5.25E+06	4.95E+06
A2AHL1	ANO3_MOUSE	Ano3	Anoctamin-3	18	17	7.75E+06	8.11E+06	7.61E+06	7.11E+06	8.69E+06	7.40E+06	6.87E+06
A2AI05	NDOR1_MOUSE	Ndor1	NADPH-dependent diflavin oxidoreductase 1	9	9	326243	339370	259363	222900	282790	336506	450014
A2AI08	TPRN_MOUSE	Tprn	Taperin	11	11	1.43E+06	1.22E+06	1.16E+06	973480	1.60E+06	1.68E+06	1.53E+06
A2AIG8-2;A2AIG8	1A1L1_MOUSE	Accs	1-aminocyclopropane-1-carboxylate synthase-like protein 1	2	2	36224	33881.6	29738	13091.6	38284.3	42413.5	16638.7
A2AIL4	NDUF6_MOUSE	Ndufaf6	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6"	8	8	3.87E+06	4.05E+06	3.87E+06	2.88E+06	4.15E+06	4.85E+06	4.61E+06
A2AIR5;A2AIR5-2	NMD3A_MOUSE	Grin3a	"Glutamate receptor ionotropic, NMDA 3A"	10	10	1.61E+07	1.69E+07	2.12E+07	7.89E+06	1.52E+07	1.60E+07	2.03E+07
A2AIV2	VIR_MOUSE	Virma	Protein virilizer homolog	15	15	2.59E+06	3.10E+06	2.84E+06	1.63E+06	2.93E+06	3.06E+06	3.00E+06
A2AIW0-2;A2AIW0;A2AIW0-3;A2AIW0-4	ENTR1_MOUSE	Entr1	Endosome-associated-trafficking regulator 1	2	2					143731		123055
A2AJ15	MA1B1_MOUSE	Man1b1	"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase"	17	17	6.31E+06	6.30E+06	6.23E+06	4.27E+06	6.29E+06	7.67E+06	7.96E+06
A2AJ88-2;A2AJ88	PLPL7_MOUSE	Pnpla7	Patatin-like phospholipase domain-containing protein 7	16	16	4.16E+06	4.30E+06	3.33E+06	2.93E+06	3.51E+06	3.74E+06	3.49E+06
A2AJA9	AJM1_MOUSE	Ajm1	Apical junction component 1 homolog	48	48	2.07E+07	2.05E+07	2.05E+07	1.41E+07	2.11E+07	2.22E+07	2.26E+07
A2AJB2	TM141_MOUSE	Tmem141	Transmembrane protein 141	5	5	3.46E+06	3.91E+06	4.07E+06	2.92E+06	4.09E+06	4.82E+06	4.42E+06
A2AJI0	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	36	36	1.44E+07	1.34E+07	1.36E+07	1.02E+07	1.40E+07	1.50E+07	1.47E+07
A2AJL3	FGGY_MOUSE	Fggy	FGGY carbohydrate kinase domain-containing protein	8	8	861810	956687	795762	611275	1.20E+06	1.16E+06	839577
A2AJT4	PNISR_MOUSE	Pnisr	Arginine/serine-rich protein PNISR	9	9	874476	995082	1.02E+06	539849	822592	1.13E+06	877012
A2AKB4	FRPD1_MOUSE	Frmpd1	FERM and PDZ domain-containing protein 1	20	20	539384	508740	449740	370390	637012	546879	619340
A2AKB9	DCA10_MOUSE	Dcaf10	DDB1- and CUL4-associated factor 10	5	5	93314.6	64612.2	55978.7	53358.3	98992.8	58863.5	90574.2
A2AKG8	FOCAD_MOUSE	Focad	Focadhesin	26	26	1.05E+07	9.93E+06	9.39E+06	7.48E+06	1.07E+07	1.30E+07	1.11E+07
A2ALI5	AJAP1_MOUSE	Ajap1	Adherens junction-associated protein 1	5	5	1.10E+06	1.20E+06	903135	803896	1.17E+06	1.38E+06	1.35E+06
A2ALK8	PTN3_MOUSE	Ptpn3	Tyrosine-protein phosphatase non-receptor type 3	32	32	4.63E+07	4.60E+07	3.99E+07	3.51E+07	4.73E+07	5.18E+07	5.07E+07
A2ALS5-2;A2ALS5-3;A2ALS5	RPGP1_MOUSE	Rap1gap	Rap1 GTPase-activating protein 1	35	34	1.96E+07	1.91E+07	1.91E+07	1.38E+07	1.98E+07	2.09E+07	2.02E+07
A2ALU4	SHRM2_MOUSE	Shroom2	Protein Shroom2	52	49	4.32E+07	4.05E+07	4.09E+07	2.82E+07	4.16E+07	4.49E+07	4.41E+07
A2ALW5	DJC25_MOUSE	Dnajc25	DnaJ homolog subfamily C member 25	4	4			299633	199802	502680	323640	
A2AM29	AF9_MOUSE	Mllt3	Protein AF-9	3	3	52826.9	53222.8	40086.8	40923.9	37467.6	77886.6	
A2AMZ4	NDUF8_MOUSE	Ndufaf8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8	3	3	1.48E+06	1.54E+06	1.64E+06	828928	1.66E+06	1.89E+06	1.74E+06
A2AN08-5	UBR4_MOUSE	Ubr4	Isoform 5 of E3 ubiquitin-protein ligase UBR4	1	1	35671.2	63270.1	37425.6	21674.9	45598	56459.7	31347
A2AN08;A2AN08-3	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	199	199	6.49E+07	6.48E+07	6.12E+07	4.47E+07	6.69E+07	7.02E+07	6.96E+07
A2ANU3	SYNG1_MOUSE	Syndig1	Synapse differentiation-inducing gene protein 1	3	3	735255	884321	745019	663708	728404	949380	810822
A2AP18-2	PLCH2_MOUSE	Plch2	"Isoform 2 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	61	59	2.16E+07	2.44E+07	2.38E+07	1.53E+07	2.42E+07	2.71E+07	2.56E+07
A2AP18-3	PLCH2_MOUSE	Plch2	"Isoform 3 of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2"	1	1	212789	215038	214986	113911	169069	275675	257151
A2APT9	KLD7A_MOUSE	Klhdc7a	Kelch domain-containing protein 7A	14	14	4.34E+06	3.73E+06	3.62E+06	2.78E+06	3.98E+06	4.44E+06	3.72E+06
A2APV2	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	2	2	123904		77052.2	111283	56679.9		
A2APV2-3	FMNL2_MOUSE	Fmnl2	Isoform 3 of Formin-like protein 2	46	38	1.30E+07	1.32E+07	1.19E+07	9.35E+06	1.46E+07	1.52E+07	1.46E+07
A2APX8;A2APX8-2;A2APX8-3	SCN1A_MOUSE	Scn1a	Sodium channel protein type 1 subunit alpha	33	32	2.70E+07	2.31E+07	2.29E+07	1.57E+07	2.18E+07	2.21E+07	2.26E+07
A2APY7	NDUF5_MOUSE	Ndufaf5	"Arginine-hydroxylase NDUFAF5, mitochondrial"	14	14	5.49E+06	5.66E+06	5.42E+06	3.78E+06	6.09E+06	6.23E+06	6.31E+06
A2AQ07	TBB1_MOUSE	Tubb1	Tubulin beta-1 chain	1	1	4.09E+07		3.09E+07		3.09E+07		
A2AQ19	RTF1_MOUSE	Rtf1	RNA polymerase-associated protein RTF1 homolog	19	19	2.92E+06	2.78E+06	2.94E+06	1.81E+06	2.87E+06	3.26E+06	3.03E+06
A2AQ25	SKT_MOUSE	Skt	Sickle tail protein	92	92	5.79E+07	5.56E+07	6.04E+07	3.54E+07	5.45E+07	5.36E+07	6.13E+07
A2AQH4	BCORL_MOUSE	Bcorl1	BCL-6 corepressor-like protein 1	2	2	1.43E+06	1.13E+06		1.24E+06	2.03E+06	1.87E+06	2.05E+06
A2AQP0	MYH7B_MOUSE	Myh7b	Myosin-7B	3	3	340235	285128	551122	241376	632985		380506
A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G	11	11	2.55E+06	2.88E+06	2.93E+06	2.10E+06	3.05E+06	3.53E+06	3.13E+06
A2AR50	RGPS1_MOUSE	Ralgps1	Ras-specific guanine nucleotide-releasing factor RalGPS1	13	12	1.40E+07	1.20E+07	1.17E+07	8.04E+06	1.17E+07	1.33E+07	1.39E+07
A2ARP1	VIP1_MOUSE	Ppip5k1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 1	51	45	4.08E+06	4.05E+06	4.16E+06	2.87E+06	4.11E+06	4.18E+06	4.45E+06
A2ARS0	ANR63_MOUSE	Ankrd63	Ankyrin repeat domain-containing protein 63	12	12	3.58E+06	3.26E+06	3.33E+06	2.20E+06	3.00E+06	3.49E+06	3.21E+06
A2AS55	ANR16_MOUSE	Ankrd16	Ankyrin repeat domain-containing protein 16	2	2	147137	114978	182970	134095	166073	163179	160272
A2ASI5	SCN3A_MOUSE	Scn3a	Sodium channel protein type 3 subunit alpha	15	14	2.15E+06	2.63E+06	2.25E+06	2.10E+06	2.87E+06	3.17E+06	2.70E+06
A2ASI5-2;A2ASI5-3	SCN3A_MOUSE	Scn3a	Isoform 2 of Sodium channel protein type 3 subunit alpha	1	1	1189.2			1322.43			5833.78
A2ASQ1	AGRIN_MOUSE	Agrn	Agrin	61	61	2.07E+07	2.06E+07	2.05E+07	1.49E+07	2.01E+07	2.31E+07	2.54E+07
A2ASQ1-2	AGRIN_MOUSE	Agrn	Isoform 2 of Agrin	1	1	2.38E+06	2.10E+06	2.21E+06	1.89E+06	2.73E+06	2.27E+06	2.63E+06
A2ASZ8-3	SCMC2_MOUSE	Slc25a25	Isoform 3 of Calcium-binding mitochondrial carrier protein SCaMC-2	2	2	738039	961297	922526		1.03E+06	1.11E+06	1.07E+06
A2ASZ8-5	SCMC2_MOUSE	Slc25a25	Isoform 5 of Calcium-binding mitochondrial carrier protein SCaMC-2	32	30	7.77E+07	7.73E+07	8.61E+07	5.45E+07	8.07E+07	8.85E+07	8.48E+07
A2AT37	RENT2_MOUSE	Upf2	Regulator of nonsense transcripts 2	45	45	2.46E+07	2.63E+07	2.56E+07	1.82E+07	2.74E+07	3.09E+07	3.03E+07
A2ATU0	DHTK1_MOUSE	Dhtkd1	2-oxoadipate dehydrogenase complex component E1	10	10		378884			511376		
A2AV25	FBCD1_MOUSE	Fibcd1	Fibrinogen C domain-containing protein 1	16	16	5.26E+06	5.12E+06	5.98E+06	3.06E+06	5.14E+06	6.07E+06	5.36E+06
A2AWA9	RBGP1_MOUSE	Rabgap1	Rab GTPase-activating protein 1	54	49	1.90E+07	1.84E+07	1.91E+07	1.26E+07	1.99E+07	2.16E+07	2.00E+07
A2AWP8-2;A2AWP8-3;A2AWP8;A2AWP8-4	ARGAL_MOUSE	Arhgef10l	Rho guanine nucleotide exchange factor 10-like protein	14	14	426288	376856	303337	256452	412484	381833	383994
A2AWT3-2;A2AWT3	AT7L3_MOUSE	Atxn7l3	Ataxin-7-like protein 3	2	2	38317.5		20020.4			30547.4	12936.7
A2BDX3	MOCS3_MOUSE	Mocs3	Adenylyltransferase and sulfurtransferase MOCS3	25	25	6.07E+08	5.76E+08	5.42E+08	4.51E+08	6.28E+08	6.53E+08	7.19E+08
A2BE28;A2BE28-2	LAS1L_MOUSE	Las1l	Ribosomal biogenesis protein LAS1L	23	23	4.06E+06	3.88E+06	4.12E+06	2.80E+06	4.57E+06	4.37E+06	4.35E+06
A2BH40	ARI1A_MOUSE	Arid1a	AT-rich interactive domain-containing protein 1A	46	46	1.08E+07	1.18E+07	1.12E+07	7.05E+06	1.25E+07	1.31E+07	1.29E+07
A2BIM8;B5X0G2;P02762;P04938	MUP11_MOUSE;MUP17_MOUSE;MUP18_MOUSE;MUP6_MOUSE	Mup11;Mup17;Mup18;Mup6	Major urinary protein 18	2	0							2.43E+06
A2CG49	KALRN_MOUSE	Kalrn	Kalirin	143	124	5.45E+07	5.40E+07	5.00E+07	3.98E+07	5.60E+07	5.88E+07	5.79E+07
A2CG49-8	KALRN_MOUSE	Kalrn	Isoform 8 of Kalirin	4	4	6.82E+06	5.83E+06	7.04E+06	5.74E+06	7.41E+06	8.08E+06	6.51E+06
A2CG63;A2CG63-2	ARI4B_MOUSE	Arid4b	AT-rich interactive domain-containing protein 4B	8	7	403538	383745	262865	287317	370800	402930	362504
A2RRY8-2;A2RRY8	SPAS1_MOUSE	Spats1	Spermatogenesis-associated serine-rich protein 1	1	1				317846		469205	
A2RSJ4	BLT3B_MOUSE	Bltp3b	Bridge-like lipid transfer protein family member 3B	60	60	3.31E+07	3.04E+07	2.94E+07	2.17E+07	3.34E+07	3.22E+07	3.10E+07
A2RSQ0	DEN5B_MOUSE	Dennd5b	DENN domain-containing protein 5B	38	35	1.97E+07	1.92E+07	1.85E+07	1.30E+07	2.02E+07	2.00E+07	1.99E+07
A2RSX7	TYW5_MOUSE	Tyw5	tRNA wybutosine-synthesizing protein 5	12	12	2.81E+07	3.23E+07	2.78E+07	1.77E+07	2.78E+07	3.04E+07	2.78E+07
A2RSY1;A2RSY1-2	KANL3_MOUSE	Kansl3	KAT8 regulatory NSL complex subunit 3	6	6	52165.7	57786.1	53722.8	43588.2	65245.1	63577.3	49123.1
A2RSY6	TRM1L_MOUSE	Trmt1l	TRMT1-like protein	19	19	819970	812847	763141	568513	882187	821993	961974
A2RT62	FXL16_MOUSE	Fbxl16	F-box/LRR-repeat protein 16	18	18	6.55E+07	6.42E+07	6.19E+07	4.64E+07	6.36E+07	6.82E+07	6.55E+07
A2RTL5	RSRC2_MOUSE	Rsrc2	Arginine/serine-rich coiled-coil protein 2	7	7	1.04E+06	1.51E+06	1.34E+06	1.15E+06	1.55E+06	1.35E+06	1.45E+06
A2TJV2	PALM3_MOUSE	Palm3	Paralemmin-3	24	24	1.83E+07	1.78E+07	1.98E+07	9.48E+06	1.64E+07	1.94E+07	1.89E+07
A3KFM7;A3KFM7-2	CHD6_MOUSE	Chd6	Chromodomain-helicase-DNA-binding protein 6	12	12	2.00E+07	2.22E+07	1.85E+07	1.34E+07	1.65E+07	1.84E+07	2.47E+07
A3KFX0	5NT1A_MOUSE	Nt5c1a	Cytosolic 5'-nucleotidase 1A	17	16	3.95E+06	4.42E+06	3.57E+06	3.87E+06	5.27E+06	5.25E+06	5.39E+06
A3KG59	P20D2_MOUSE	Pm20d2	Xaa-Arg dipeptidase	4	4	31966.8	15771.2	28540.2	21910.9	19197.3	17434.8	39394.9
A3KGB4	TBC8B_MOUSE	Tbc1d8b	TBC1 domain family member 8B	34	33	1.02E+07	1.36E+07	9.62E+06	9.22E+06	1.37E+07	1.59E+07	1.57E+07
A3KGF9	CCD9B_MOUSE	Ccdc9b	Coiled-coil domain-containing protein 9B	4	4	80922.3	112242	64622.4	43164.3	134887	38463.6	83817.2
A3KGS3	RGPA2_MOUSE	Ralgapa2	Ral GTPase-activating protein subunit alpha-2	12	11	1.07E+06	1.01E+06	855944	724237	1.13E+06	951251	1.12E+06
A3KGV1;A3KGV1-2;A3KGV1-3;A3KGV1-4	ODFP2_MOUSE	Odf2	Outer dense fiber protein 2	5	5		121722	44598.8	63255.4	132485	84709.9	80535.9
A3KMN5	LARGN_MOUSE	Prr16	Protein Largen	3	3	9857.04	4472.14			16836.5	8781.56	
A3KMP2	TTC38_MOUSE	Ttc38	Tetratricopeptide repeat protein 38	20	20	3.33E+07	3.41E+07	3.07E+07	2.58E+07	3.28E+07	3.53E+07	3.90E+07
A4FUP9	GL1D1_MOUSE	Glt1d1	Glycosyltransferase 1 domain-containing protein 1	9	9	4.12E+06	4.15E+06	4.53E+06	3.46E+06	4.57E+06	4.52E+06	4.52E+06
A4Q9F0	TTLL7_MOUSE	Ttll7	Tubulin polyglutamylase TTLL7	17	17	399466	463225	407147	302970	430574	375815	368942
A6H5Y3	METH_MOUSE	Mtr	Methionine synthase	32	32	1.85E+07	1.94E+07	1.64E+07	1.37E+07	2.11E+07	2.15E+07	2.03E+07
A6H5Z3	EXC6B_MOUSE	Exoc6b	Exocyst complex component 6B	48	47	1.40E+07	1.36E+07	1.35E+07	9.99E+06	1.44E+07	1.52E+07	1.52E+07
A6H603	NWD1_MOUSE	Nwd1	NACHT domain- and WD repeat-containing protein 1	16	16	1.03E+06	1.10E+06	957764	605718	1.14E+06	1.06E+06	974643
A6H611	MIPEP_MOUSE	Mipep	Mitochondrial intermediate peptidase	32	32	3.74E+06	4.12E+06	4.04E+06	3.03E+06	4.55E+06	4.45E+06	4.70E+06
A6H619;A6H619-2	PHRF1_MOUSE	Phrf1	PHD and RING finger domain-containing protein 1	3	3	203757	217448	283215	177562	356629	211761	
A6H630	ARMT1_MOUSE	Armt1	Damage-control phosphatase ARMT1	28	28	1.44E+07	1.35E+07	1.30E+07	1.07E+07	1.48E+07	1.59E+07	1.53E+07
A6H687	SAC31_MOUSE	Sac3d1	SAC3 domain-containing protein 1	4	4	77899.1	49580.6	45904.2	62629.8	99482.6	90357.6	85845.5
A6H6A9	RBG1L_MOUSE	Rabgap1l	Rab GTPase-activating protein 1-like	28	28	6.55E+06	6.19E+06	6.46E+06	4.52E+06	6.65E+06	6.88E+06	6.63E+06
A6H6A9-3	RBG1L_MOUSE	Rabgap1l	Isoform 3 of Rab GTPase-activating protein 1-like	22	22	6.46E+07	6.02E+07	5.98E+07	4.15E+07	5.81E+07	6.12E+07	6.49E+07
A6H6E2	MMRN2_MOUSE	Mmrn2	Multimerin-2	6	6	1.34E+06	1.24E+06	864618	934660	1.32E+06	1.31E+06	1.34E+06
A6H8H2	DEN4C_MOUSE	Dennd4c	DENN domain-containing protein 4C	30	30	3.56E+07	3.38E+07	2.86E+07	2.52E+07	3.96E+07	3.65E+07	3.64E+07
A6H8H5	KCNB2_MOUSE	Kcnb2	Potassium voltage-gated channel subfamily B member 2	16	16	2.43E+07	2.16E+07	2.25E+07	1.45E+07	2.21E+07	2.50E+07	2.54E+07
A6X8Z5	RHG31_MOUSE	Arhgap31	Rho GTPase-activating protein 31	20	20	1.85E+07	1.98E+07	1.77E+07	1.20E+07	2.04E+07	1.98E+07	2.00E+07
